Var,Descripcion,Fuente,AE
CONS,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado en el mercado interior, base 2013 > Series desestacionalizadas y tendencia-ciclo > Total > Serie desestacionalizada Índice f1/ (Índice de volumen físico 2013 = 100) ",INEGI,1
CONS_BYS_NAC,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado en el mercado interior, base 2013 > Series desestacionalizadas y tendencia-ciclo > Bienes y servicios de origen nacional > Total > Serie desestacionalizada Índice f1/ (Índice de volumen físico 2013 = 100) ",INEGI,1
CONS_BIE_NAC,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado en el mercado interior, base 2013 > Series desestacionalizadas y tendencia-ciclo > Bienes y servicios de origen nacional > Bienes > Serie desestacionalizada Índice f1/ (Índice de volumen físico 2013 = 100) ",INEGI,1
CONS_SERV_NAC,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado en el mercado interior, base 2013 > Series desestacionalizadas y tendencia-ciclo > Bienes y servicios de origen nacional > Servicios > Serie desestacionalizada Índice f1/ (Índice de volumen físico 2013 = 100) ",INEGI,1
CONS_M,"Indicadores económicos de coyuntura > Indicador mensual del consumo privado en el mercado interior, base 2013 > Series desestacionalizadas y tendencia-ciclo > Bienes importados > Serie desestacionalizada Índice f1/ (Índice de volumen físico 2013 = 100) ",INEGI,1
ISBS_MAY,"Indicadores económicos de coyuntura > Encuesta mensual sobre empresas comerciales (EMEC), Base 2013 > Series desestacionalizadas y tendencia-ciclo > Comercio al por mayor > Ingresos totales por suministros de bienes y servicios > Índice general > Serie desestacionalizada Índice f2/ (Índice base 2013=100) ",INEGI,1
ISBS_MEN,"Indicadores económicos de coyuntura > Encuesta mensual sobre empresas comerciales (EMEC), Base 2013 > Series desestacionalizadas y tendencia-ciclo > Comercio al por menor > Ingresos por suministros de bienes y servicios > Índice general > Serie desestacionalizada Índice f2/ (Índice base 2013=100) ",INEGI,1
IIT_SERV_TOT,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Índice ponderado de ingresos totales > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
IIT_SERV_TRANSP,"Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Transporte, correos y almacenamiento > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ",INEGI,1
IIT_SERV_MED_MAS,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Información en medios masivos > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
IIT_SERV_INMOB,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios inmobiliarios y de alquiler de bienes muebles e intangibles > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
IIT_SERV_PROF,"Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios profesionales, científicos y técnicos > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ",INEGI,1
IIT_SERV_APOY,"Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ",INEGI,1
IIT_SERV_EDUC,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios educativos > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
IIT_SERV_SALUD,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios de salud y de asistencia social > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
IIT_SERV_CULT,"Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ",INEGI,1
IIT_SERV_ALOJ,Indicadores económicos de coyuntura > Encuesta mensual de servicios (EMS). Base 2013 > Series desestacionalizadas y tendencia-ciclo > Ingresos totales por suministro de bienes y servicios por sector > Servicios de alojamiento temporal y de preparación de alimentos y bebidas > Serie desestacionalizada Índice f3/ (Índice base 2013=100) ,INEGI,1
PROD_VEH_TOT,Comunicaciones y transportes > Industria automotriz > Producción de vehículos automotores Total a/  p1 / f5/ (Número de unidades) ,INEGI,0
PROD_AUT,Comunicaciones y transportes > Industria automotriz > Producción de vehículos automotores Automóviles a/  p1 / f5/ (Número de unidades) ,INEGI,0
PROD_CAM,"Comunicaciones y transportes > Industria automotriz > Producción de vehículos automotores Camiones, tractocamiones y autobuses integrales a/  p1 / f5/ (Número de unidades) ",INEGI,0
VENTA_AUTOS,Comunicaciones y transportes > Industria automotriz > Venta al público de automóviles y camiones > Automóviles Total p1 / f6/ (Número de unidades) ,INEGI,0
M_BC_TOT,Indicadores económicos de coyuntura > Balanza comercial de mercancías de México > Series desestacionalizadas y tendencia-ciclo > Importaciones (FOB) > De bienes de consumo > Total > Serie desestacionalizada Valores absolutos r1 / o1 / f4/ (Millones de dólares) ,INEGI,1
M_BC_NO_PETR,Indicadores económicos de coyuntura > Balanza comercial de mercancías de México > Series desestacionalizadas y tendencia-ciclo > Importaciones (FOB) > De bienes de consumo > No petroleras > Serie desestacionalizada Valores absolutos r1 / o1 / f4/ (Millones de dólares) ,INEGI,1
ANTAD,"Indicantad > Ventas Totales, reconstruido con Variacion Anual",ANTAD,0
GASOLINAS,Sistema de Información Energética Volumen de ventas internas de Petrolíferos por entidad federativa,SENER,0
